-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2026 through 06/01/2026 in LST
Location: latitude  22.32   longitude 114.17 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 53.17 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M
2026,1,1,3.4502,17.21
2026,1,2,4.3013,13.58
2026,1,3,4.3241,13.21
2026,1,4,4.0687,15.87
2026,1,5,4.5341,15.99
2026,1,6,4.0848,12.77
2026,1,7,4.4134,12.1
2026,1,8,4.7338,12.96
2026,1,9,4.7009,13.9
2026,1,10,4.781,15.2
2026,1,11,4.7616,15.07
2026,1,12,3.2057,16.35
2026,1,13,4.5898,18.1
2026,1,14,4.7215,17.66
2026,1,15,4.5106,18.37
2026,1,16,4.6961,19.22
2026,1,17,4.3548,19.54
2026,1,18,4.5298,19.26
2026,1,19,4.1774,18.8
2026,1,20,2.149,17.27
2026,1,21,1.8478,13.9
2026,1,22,2.6189,12.35
2026,1,23,2.599,13.21
2026,1,24,4.3442,16.0
2026,1,25,4.4527,17.99
2026,1,26,4.2509,19.53
2026,1,27,4.1674,19.6
2026,1,28,3.655,17.97
2026,1,29,3.2431,18.0
2026,1,30,1.543,18.76
2026,1,31,1.201,15.73
2026,2,1,3.1702,14.47
2026,2,2,4.7693,15.99
2026,2,3,3.6629,17.19
2026,2,4,4.391,19.14
2026,2,5,4.1455,20.79
2026,2,6,4.8456,21.47
2026,2,7,2.573,19.71
2026,2,8,2.8798,16.64
2026,2,9,2.2022,15.25
2026,2,10,2.2142,18.23
2026,2,11,5.0023,20.1
2026,2,12,2.4967,18.86
2026,2,13,5.3124,19.77
2026,2,14,5.2363,21.46
2026,2,15,4.9358,22.57
2026,2,16,4.9906,23.0
2026,2,17,1.5941,19.94
2026,2,18,4.8727,18.74
2026,2,19,4.8257,19.2
2026,2,20,5.0112,20.56
2026,2,21,4.6003,20.95
2026,2,22,4.7522,22.55
2026,2,23,4.8895,21.74
2026,2,24,2.9357,22.72
2026,2,25,3.5863,22.65
2026,2,26,1.9411,22.33
2026,2,27,2.0786,22.76
2026,2,28,1.0109,21.35
2026,3,1,2.1166,22.27
2026,3,2,2.4247,24.03
2026,3,3,0.9955,19.29
2026,3,4,1.4117,17.64
2026,3,5,4.9358,18.95
2026,3,6,4.0102,19.07
2026,3,7,5.3443,19.48
2026,3,8,5.9261,19.19
2026,3,9,4.5264,19.72
2026,3,10,2.0462,17.66
2026,3,11,4.165,18.7
2026,3,12,6.6324,20.12
2026,3,13,6.528,18.01
2026,3,14,6.4231,18.55
2026,3,15,6.5059,19.99
2026,3,16,6.2916,20.65
2026,3,17,3.4798,21.51
2026,3,18,5.7766,22.57
2026,3,19,5.849,22.55
2026,3,20,4.0344,22.06
2026,3,21,2.6906,22.18
2026,3,22,5.2318,22.71
2026,3,23,5.077,23.4
2026,3,24,4.2833,23.77
2026,3,25,5.8507,24.74
2026,3,26,2.7943,24.31
2026,3,27,3.6662,24.43
2026,3,28,2.9431,23.96
2026,3,29,3.7733,24.38
2026,3,30,4.2319,24.75
2026,3,31,3.5285,24.81
2026,4,1,6.089,23.66
2026,4,2,2.7773,23.79
2026,4,3,3.7193,24.66
2026,4,4,1.4467,23.68
2026,4,5,1.6942,24.0
2026,4,6,2.4881,25.42
2026,4,7,3.3326,25.86
2026,4,8,2.3407,24.46
2026,4,9,4.7299,25.24
2026,4,10,4.8823,25.83
2026,4,11,2.911,26.01
2026,4,12,4.9682,26.23
2026,4,13,5.6258,26.15
2026,4,14,4.4141,26.33
2026,4,15,4.8636,26.37
2026,4,16,5.922,26.1
2026,4,17,3.4846,25.7
2026,4,18,5.425,25.91
2026,4,19,6.1375,26.4
2026,4,20,4.2101,26.34
2026,4,21,3.367,26.21
2026,4,22,5.6582,26.53
2026,4,23,2.7518,25.8
2026,4,24,1.0051,20.95
2026,4,25,3.7202,23.54
2026,4,26,6.967,25.07
2026,4,27,5.6563,25.26
2026,4,28,3.6173,25.63
2026,4,29,3.5904,25.04
2026,4,30,3.4366,21.92
2026,5,1,5.161,23.33
2026,5,2,4.9891,25.22
2026,5,3,3.0715,24.99
2026,5,4,3.1154,23.31
2026,5,5,1.3656,22.88
2026,5,6,2.9712,24.16
2026,5,7,6.4325,25.61
2026,5,8,4.9001,26.78
2026,5,9,1.6435,24.44
2026,5,10,2.6801,24.83
2026,5,11,4.529,25.85
2026,5,12,5.2498,26.69
2026,5,13,6.9998,27.31
2026,5,14,2.7194,26.82
2026,5,15,2.1175,26.53
2026,5,16,2.3398,25.58
2026,5,17,2.4281,25.26
2026,5,18,4.2094,26.27
2026,5,19,2.6326,25.86
2026,5,20,3.6228,26.84
2026,5,21,2.2056,26.95
2026,5,22,6.0538,27.27
2026,5,23,4.6291,27.66
2026,5,24,5.5639,28.13
2026,5,25,6.5227,28.45
2026,5,26,5.2922,28.79
2026,5,27,6.9406,29.05
2026,5,28,7.512,29.52
2026,5,29,6.491,29.94
2026,5,30,6.0926,29.21
2026,5,31,4.9462,28.23
2026,6,1,5.6942,28.13
